ticker,endeks_adi,olcum_tarihi
ARCLK,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ARDYZ,BIST KATILIM TUM,2026-08-08
ARDYZ,BIST KATILIM 100,2026-08-08
ARDYZ,BIST TEKNOLOJİ,2026-08-08
ARDYZ,BIST 500,2026-08-08
ARDYZ,BIST TÜM-100,2026-08-08
ARDYZ,BIST YILDIZ,2026-08-08
ARDYZ,BIST TÜM,2026-08-08
ARDYZ,BIST TEMETTÜ,2026-08-08
ARDYZ,BIST KATILIM TEMETTU,2026-08-08
ARDYZ,BIST TEMETTU 5 YIL,2026-08-08
ARDYZ,BIST BİLİŞİM,2026-08-08
ARDYZ,BIST İSTANBUL,2026-08-08
ARENA,BIST İSTANBUL,2026-08-08
ARENA,BIST TÜM-100,2026-08-08
ARENA,BIST TEKNOLOJİ,2026-08-08
ARENA,BIST TÜM,2026-08-08
ARENA,BIST KATILIM TUM,2026-08-08
ARENA,BIST BİLİŞİM,2026-08-08
ARENA,BIST 500,2026-08-08
ARENA,BIST ANA,2026-08-08
ARFYE,BIST HALKA ARZ,2026-08-08
ARFYE,BIST TÜM-100,2026-08-08
ARFYE,BIST TÜM,2026-08-08
ARFYE,BIST HİZMETLER,2026-08-08
ARFYE,BIST 500,2026-08-08
ARFYE,BIST KATILIM TUM,2026-08-08
ARFYE,BIST ANA,2026-08-08
ARFYE,BIST İZMİR,2026-08-08
ARFYE,BIST ELEKTRİK,2026-08-08
ARMGD,BIST TÜM,2026-08-08
ARMGD,"BIST GIDA, İÇECEK",2026-08-08
ARMGD,BIST SINAİ,2026-08-08
ARMGD,BIST 500,2026-08-08
ARMGD,BIST YILDIZ,2026-08-08
ARMGD,BIST HALKA ARZ,2026-08-08
ARMGD,BIST TÜM-100,2026-08-08
ARSAN,BIST MALİ,2026-08-08
ARSAN,BIST ANA,2026-08-08
ARSAN,BIST TÜM,2026-08-08
ARSAN,BIST GERİ ALIM,2026-08-08
ARSAN,BIST HOLDİNG VE YATIRIM,2026-08-08
ARSAN,BIST TÜM-100,2026-08-08
ARSAN,BIST 500,2026-08-08
ARTMS,BIST ANA,2026-08-08
ARTMS,BIST KOBI SANAYİ,2026-08-08
ARTMS,BIST TÜM,2026-08-08
ARTMS,BIST 500,2026-08-08
ARTMS,BIST TÜM-100,2026-08-08
ARTMS,"BIST TEKSTİL, DERİ",2026-08-08
ARTMS,BIST SINAİ,2026-08-08
ARZUM,BIST TÜM-100,2026-08-08
ARZUM,BIST TOPTAN TICARET,2026-08-08
ARZUM,BIST TÜM,2026-08-08
ARZUM,BIST KURUMSAL YÖNETİM,2026-08-08
ARZUM,BIST İSTANBUL,2026-08-08
ARZUM,BIST HİZMETLER,2026-08-08
ARZUM,BIST 500,2026-08-08
ARZUM,BIST ANA,2026-08-08
ARZUM,BIST TİCARET,2026-08-08
ASELS,BIST TEMETTÜ,2026-08-08
ASELS,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ASELS,BIST SÜRDÜRÜLEBİLİRLİK 25,2026-08-08
ASELS,BIST KATILIM 50,2026-08-08
ASELS,BIST BANKA DIŞI LİKİT 10,2026-08-08
ASELS,BIST 500,2026-08-08
ASELS,BIST TEMETTU 10 YIL,2026-08-08
ASELS,BIST TEKNOLOJİ,2026-08-08
ASELS,BIST TÜM,2026-08-08
ASELS,BIST 100,2026-08-08
ASELS,BIST KATILIM TUM,2026-08-08
ASELS,BIST TEMETTU 5 YIL,2026-08-08
ASELS,BIST KURUMSAL YÖNETİM,2026-08-08
ASELS,BIST 50,2026-08-08
ASELS,BIST KATILIM 30,2026-08-08
ASELS,BIST YILDIZ,2026-08-08
ASELS,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
ASELS,BIST 30,2026-08-08
ASELS,BIST ANKARA,2026-08-08
ASELS,BIST KATILIM TEMETTU,2026-08-08
ASELS,BIST KATILIM 100,2026-08-08
ASGYO,BIST TÜM-100,2026-08-08
ASGYO,BIST MALİ,2026-08-08
ASGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
ASGYO,BIST YILDIZ,2026-08-08
ASGYO,BIST TÜM,2026-08-08
ASGYO,BIST 500,2026-08-08
ASTOR,BIST BANKA DIŞI LİKİT 10,2026-08-08
ASTOR,BIST 30,2026-08-08
ASTOR,BIST TEMETTÜ,2026-08-08
ASTOR,BIST 50,2026-08-08
ASTOR,BIST 100,2026-08-08
ASTOR,BIST 500,2026-08-08
ASTOR,BIST KURUMSAL YÖNETİM,2026-08-08
ASTOR,BIST YILDIZ,2026-08-08
ASTOR,"BIST METAL EŞYA, MAKİNA",2026-08-08
